Name,Description,Vending Machine,PicnicTable,Public Phone,Route,Status,County,Visitor Info,NYS Police,Car Spaces,Truck Spaces,Bus Spaces,Handicapped Spaces,Travel Direction,Longitude,Latitude,Location
Worcester,Restroom facilities and parking will be closed; the location will continue to be used for roadside commercial vehicle inspections.,2,16,-1,I-88,Closed,Otsego,Yes,No,20,15,0,2,Eastbound,-74.76729806,42.57138278,"(42.57138278, -74.76729806)"
Glens Falls,"Serving Northbound traffic on Interstate 87, also known as the Northway, between exits 17 and 18, in the town of Queensbury, Warren County.",3,-1,-1,I-87,Open,Warren,No,No,60,16,0,4,Norhbound,-73.67399694,43.27268694,"(43.27268694, -73.67399694)"
Beekmantown,"Serving southbound traffic on I-87, also known as the Northway, between exits 41 and 40, in the town of Beekmantown, Clinton County.",1,-1,-1,I-87,Open,Clinton,No,No,36,14,14,3,Southbound,-73.44620694,44.807075,"(44.807075, -73.44620694)"
Friendship,"Serving eastbound traffic on Interstate 86, between Exits 29 and 30, in the Town of Friendship, Allegany County.",-1,-1,-1,I-86,Open,Allegany,Yes,No,47,28,0,2,Eastbound,-78.10061444,42.224025,"(42.224025, -78.10061444)"
Hastings,"Serving southbound traffic on Interstate 81, between Exits 32 and 31, in the Town of Hastings, Oswego County.",2,-1,-1,I-81,Closed,Oswego,Yes,No,0,0,0,0,Southbound,-76.13298472,43.256775,"(43.256775, -76.13298472)"
Middletown,"Serving eastbound traffic on Interstate 84, between exits 3 and 4, in the Town of Wallkill, Orange County.",-1,-1,-1,I-84,Open,Orange,Yes,No,40,15,0,0,Eastbound,-74.39596694,41.42435722,"(41.42435722, -74.39596694)"
Chautauqua Lake,"Serving eastbound traffic on Interstate 86, between exits 10 and 11, in the town of Ellery, Chautauqua County.  The architecture showcases victorian style, and within the enclosed lobby are interpretive displays of the region.",6,-1,1,I-86,Open,Chautauqua,Yes,Yes,-1,-1,-1,-1,Eastbound,-79.34887028,42.13464972,"(42.13464972, -79.34887028)"
Preble,"Serving northbound traffic on Interstate 81, between Exits 12 and 13, in the Town of Preble, Cortland County.",0,0,0,I-81,Open,Cortland , , ,0,0,0,0,Northbound,-76.147095,42.71227417,"(42.71227417, -76.147095)"
Lewis,"Serving southbound traffic on I-87, also known as the Northway, between Exits 32 and 31, in the Town of Lewis, Essex County.",1,-1,-1,I-87,Closed,Essex,Yes,No,25,6,0,2,Southbound,-73.52931944,44.27789111,"(44.27789111, -73.52931944)"
Collins Landing,"Serving Southbound traffic on Interstate 81, just over the Canadian Border, operated by the Thousand Island Bridge Authority",0,0,0,I-81,Open, , , ,0,0,0,0,Southbound,-75.97566167,44.29576528,"(44.29576528, -75.97566167)"
